a1.mdt.akamai.csd.disa.mil,214.48.32.24
deamsdiscomont.csd.disa.mil,156.112.78.46
deamsdiscomontpp.csd.disa.mil,156.112.78.36
deamsdiscoogden.csd.disa.mil,156.112.94.46
deamsdiscoogdenpp.csd.disa.mil,156.112.94.36
deamsdiscopp.csd.disa.mil,156.112.78.36
deamsdiscoreports2.csd.disa.mil,156.112.78.50
deamsdiscoreports2mont.csd.disa.mil,156.112.78.50
deamsdiscoreports2montpp.csd.disa.mil,156.112.78.40
deamsdiscoreports2ogden.csd.disa.mil,156.112.94.50
deamsdiscoreports2ogdenpp.csd.disa.mil,156.112.94.40
deamsdiscoreports2pp.csd.disa.mil,156.112.78.40
deamsebsmont.csd.disa.mil,156.112.78.48
deamsebsmontpp.csd.disa.mil,156.112.78.38
deamsebsogden.csd.disa.mil,156.112.94.48
deamsebsogdenpp.csd.disa.mil,156.112.94.38
deamsocs10g.csd.disa.mil,156.112.78.49
deamsocs10gmont.csd.disa.mil,156.112.78.49
deamsocs10gmontpp.csd.disa.mil,156.112.78.39
deamsocs10gogden.csd.disa.mil,156.112.94.49
deamsocs10gogdenpp.csd.disa.mil,156.112.94.39
deamsocs10gpp.csd.disa.mil,156.112.78.39
deamsoid.csd.disa.mil,156.112.78.47
deamsoidmont.csd.disa.mil,156.112.78.47
deamsoidmontpp.csd.disa.mil,156.112.78.37
deamsoidogden.csd.disa.mil,156.112.94.47
deamsoidogdenpp.csd.disa.mil,156.112.94.37
deamsoidpp.csd.disa.mil,156.112.78.37
deamspp.csd.disa.mil,156.112.78.38
deamsupk.csd.disa.mil,156.112.78.54
deamsupkpp.csd.disa.mil,156.112.78.55
deccpac.disa.mil,192.211.120.225
depo.csd.disa.mil,156.112.84.185
depsland.csd.disa.mil,156.112.92.146
dev32-obiee11.dai.csd.disa.mil,156.112.83.131
devoem.ois.disa.mil,156.112.100.169
devsso.ois.disa.mil,156.112.100.167
dfas1099trp.csd.disa.mil,156.112.92.14
dfasdecert.csd.disa.mil,164.235.75.130
dfasdegcert.csd.disa.mil,164.235.43.131
dfrrs.csd.disa.mil,207.133.4.49
dha-bcs.csd.disa.mil,156.112.67.36
dha-bcsdt.csd.disa.mil,156.112.67.37
dha-bcspt.csd.disa.mil,156.112.106.80
dha-contractors.csd.disa.mil,156.112.108.25
dha-extranet.csd.disa.mil,156.112.108.23
dha-prism.csd.disa.mil,156.112.108.248
dhavpn.csd.disa.mil,164.235.240.14
dhavpncols.csd.disa.mil,164.235.241.14
dibnet.disa.mil,156.112.107.170
diicoe.disa.mil,131.84.179.30
disa-storefront.disa.mil,156.112.115.182
disa.mil,156.112.108.76
disaelearning.den.disa.mil,214.3.105.152
disanethelp.disa.mil,164.117.144.17
disnvtc.disa.mil,63.111.52.5
ditchawaii.disa.mil,192.211.120.254
ditco.csd.disa.mil,131.77.10.113
ditco.disa.mil,156.112.108.77
ditms.disa.mil,209.22.120.226
dko.disa.mil,156.112.108.59
dleers.ncr.disa.mil,209.22.124.156
dmcdayton.day.disa.mil,204.222.14.222
dmcokcvm1.csd.disa.mil,206.38.153.197
dmhrsi.csd.disa.mil,156.112.67.159
dmhrsidisco.csd.disa.mil,156.112.67.161
dmhrsidiscopt.csd.disa.mil,156.112.106.84
dmhrsipt.csd.disa.mil,156.112.106.83
dmhrsisso.csd.disa.mil,156.112.67.160
dmhrsissodt.csd.disa.mil,156.112.68.86
dmhrsissopt.csd.disa.mil,156.112.106.86
dmhrsitrng.csd.disa.mil,164.235.77.46
dmhrsitrngdisco.csd.disa.mil,164.235.109.70
dmoapps.csd.disa.mil,214.21.107.27
dmrtest.csd.disa.mil,164.235.75.96
dmz.ccqasdemo.csd.disa.mil,156.112.67.141
dmz.ccqastng.csd.disa.mil,156.112.67.140
dmzgexeast.csd.disa.mil,214.3.173.29
dmzgexwest.csd.disa.mil,131.77.74.10
